key,type,title,epic_key,area,priority,size,depends_on,doc_path,anchor,goal
NBB-001,Epic,Foundation and Migration Guardrails,,foundation,P0,L,,docs/tickets/epics/NBB-001.md,#nbb-001,Stop drift and create safety rails before migration work starts.
NBB-101,Task,"Reconcile repo identity, default branch, remotes, and contribution target",NBB-001,foundation/docs,P0,S,,docs/tickets/epics/NBB-001.md,#nbb-101,Remove stale branch and repository instructions before contributors begin migration work.
NBB-102,Task,Publish structure rules and neutralize old docs,NBB-001,foundation/docs,P0,M,NBB-101,docs/tickets/epics/NBB-001.md,#nbb-102,Make the domain-first structure rules override the old mechanism-first guidance.
NBB-103,Task,Bootstrap GitHub Actions CI and add early no-new-legacy-files guardrail,NBB-001,foundation/ci,P0,M,NBB-102,docs/tickets/epics/NBB-001.md,#nbb-103,Create CI and block new files in frozen legacy buckets before migration starts.
NBB-104,Task,"Create backend skeleton, charters, dependency graph, and route-adapter policy",NBB-001,backend/foundation,P0,M,NBB-102,docs/tickets/epics/NBB-001.md,#nbb-104,Create backend destinations and define narrow charters before moving behavior.
NBB-105,Task,Create frontend ownership skeleton,NBB-001,frontend/foundation,P0,S,NBB-102,docs/tickets/epics/NBB-001.md,#nbb-105,Preserve React/Vite conventions while documenting domain ownership below the shell.
NBB-106,Task,Add baseline backend route smoke tests for every registered blueprint,NBB-001,tests/backend,P0,M,NBB-103,docs/tickets/epics/NBB-001.md,#nbb-106,Make route breakage visible before domain migrations move code.
NBB-107,Task,Add baseline backend auth and permissions tests,NBB-001,tests/backend-auth,P0,M,NBB-103,docs/tickets/epics/NBB-001.md,#nbb-107,Protect identity permission and project-access behavior before refactoring policy.
NBB-108A,Task,Decide frontend baseline test path,NBB-001,tests/frontend,P0,S,NBB-105,docs/tickets/epics/NBB-001.md,#nbb-108a,Make the frontend test/deferral decision machine-visible before frontend moves.
NBB-108B,Task,Implement baseline frontend ownership and render smoke tests if chosen,NBB-001,tests/frontend,P1,M,NBB-108A,docs/tickets/epics/NBB-001.md,#nbb-108b,Add frontend smoke coverage when NBB-108A chooses implementation over deferral.
NBB-109,Task,Apply pre-migration correctness sweep from the taste audit,NBB-001,foundation/correctness,P0,M,NBB-103,docs/tickets/epics/NBB-001.md,#nbb-109,Fix cheap correctness defects before structural churn moves the files.
NBB-002,Epic,"Central Policy, Safety, and Shared Boundaries",,backend/boundaries,P0,XL,NBB-101;NBB-102;NBB-103;NBB-109,docs/tickets/epics/NBB-002.md,#nbb-002,Front-load safety data and contract decisions needed by domain migrations.
